Q,TEXT,SCENARIO,RELATION,TRIANGULAR,ORTHOGONAL,TVERSKY,SATISFICE,TVEND,TVSTART
1,Which shift(s) start at 11 am?,acme,starttime,,,,,,
2,Which shift(s) start at the same time as D?,acme,starts,,,,,,
3,Which shift(s) begin when C ends?,acme,meets,,,,,,
4,Which shift(s) end at 4 pm?,acme,endtime,,,,,,
5,Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?,acme,midpoint,,,,,,
6,Which shift(s) are six hours long?,bigset,duration,,,,,,
7,Which 2 shifts less than 5 hours long start at the same time?,bigset,duration+starts,,,,,,
8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",bigset,duration+contained,,,,,,
9,Which shift(s) begins before J begins and ends during B?,bigset,starttime+before+endtime+during,,,,,,
10,Which shift(s) end at the same time as F?,bigset,ends,,,,,,
11,Which shift(s) start at 12pm?,bigset,starttime,,,,,,
12,Which shift(s) start at the same time as F?,bigset,starts,,,,,,
13,Which 2 shifts end when Z begins?,bigset,meets,,,,,,
14,Which shift(s) end at 3pm?,bigset,endtime,,,,,,
15,Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?,bigset,midpoint,,,,,,
