"subject","study","condition","pretty_condition","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.29186666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",17.502
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.5666,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",16.376
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.6831,"Which shift(s) begin when C ends?","meets","3","FALSE","",6.892
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.52093333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","X,K",50.172
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.80571666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",16.89
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.6916,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",46.975
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.63006666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","C,H",116.209
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.5631,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","O",55.352
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.93258333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",22.067
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.05471666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","Z",7.223
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.4043,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",20.877
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",8.34061666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",56.072
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.55521666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","H,L",72.771
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.81216666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","",15.061
"7FU37","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",10.05665,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",14.573
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.04685,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",12.835
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.23886666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",11.399
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.43445,"Which shift(s) begin when C ends?","meets","3","FALSE","O",11.624
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.72711666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",17.229
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",6.05158333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","H",19.373
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.12708333333333,"Which shift(s) are six hours long?","duration","6","FALSE","Z",2.547
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.16253333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","Z",2.028
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.18821666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","Z",1.442
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.23173333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","Z",2.449
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.25768333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","Z",1.421
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.26491666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","",0.23
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.30158333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","Z",2.057
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.33425,"Which 2 shifts end when Z begins?","meets","13","FALSE","Z",1.847
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.3625,"Which shift(s) end at 3pm?","endtime","14","FALSE","Z",1.483
"ZCMED","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.389,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","Z",1.396
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.28873333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",8.621
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.44511666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",9.206
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.60845,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",9.595
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.0829,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",28.364
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.64293333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","",33.513
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.89568333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.602
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.08261666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",11.033
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.5215,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E,I,J",26.242
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.82095,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",17.852
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.94155,"Which shift(s) end at the same time as F?","ends","10","FALSE","",7.073
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.08908333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",8.744
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.1666,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",4.555
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.25605,"Which 2 shifts end when Z begins?","meets","13","FALSE","",5.272
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.29021666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","",1.95
"YWPBP","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.41495,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","",7.381
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.812,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",11.209
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.97265,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",9.525
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.44158333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","X,O,I,J,H,F,K,E,G",28.03
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.54038333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","",5.818
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.66538333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","",7.393
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.83341666666667,"Which shift(s) are six hours long?","duration","6","FALSE","E",8.056
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.8813,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","E",2.768
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.89475,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","",0.698
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.90715,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","",0.638
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.91945,"Which shift(s) end at the same time as F?","ends","10","FALSE","",0.628
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.93075,"Which shift(s) start at 12pm?","starttime","11","FALSE","",0.551
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.95688333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","",1.434
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.96916666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","",0.593
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.98071666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","",0.583
"6RQTQ","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.04996666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","N",4.045
"G6248","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.08198333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",29.253
"G6248","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.50775,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",25.422
