"subject","study","condition","pretty_condition","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.868833333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",18.706
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.01921666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",8.921
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.45523333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",26.058
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.90823333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",27.08
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.77861666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","U",52.121
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.95916666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",7.703
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.33971666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",22.734
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.44473333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",66.191
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.0019,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",32.765
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.4469,"Which shift(s) end at the same time as F?","ends","10","FALSE","X",26.596
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.64826666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",11.985
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.71008333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",3.604
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.99645,"Which 2 shifts end when Z begins?","meets","13","FALSE","F,X",17.083
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.39695,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",23.931
"JCKEW","SGC3A","111","control","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.13291666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","E,F",44.042
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.13128333333333,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",28.246
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.44166666666667,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",18.503
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.58403333333333,"Which shift(s) begin when C ends?","meets","3","TRUE","F",8.434
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.73565,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",8.991
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",6.05786666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","A",19.224
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.47801666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",16.876
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.9093,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE","O,X",25.769
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.8667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","TRUE","G",57.334
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.13973333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","",76.266
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.31521666666667,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",10.222
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.44138333333333,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",7.457
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.6146,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",10.288
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.77695,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",9.617
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.93571666666667,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",9.415
"NBR5N","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",10.1046333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",10.026
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",0.684066666666667,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",6.692
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",0.88295,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",11.759
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.14533333333333,"Which shift(s) begin when C ends?","meets","3","TRUE","F",15.598
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.3432,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",11.765
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.66006666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","A",18.86
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.90993333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",7.85
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.266,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE","O,X",21.205
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.99998333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","D,N",43.869
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.26001666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",15.439
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.40313333333333,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",8.426
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.56343333333333,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",9.453
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.69348333333333,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",7.641
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.92508333333333,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",13.739
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.05856666666667,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",7.857
"FPSQJ","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.22413333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",9.778
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",2.80326666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE","O",61.135
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",3.2721,"Which shift(s) start at the same time as D?","starts","2","FALSE","",27.809
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",3.76601666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","X",29.509
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",4.33678333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","F",34.133
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",4.57395,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","A",14.12
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.82723333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",9.63
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.18656666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",21.451
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.66776666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",28.762
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.85281666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",10.994
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.61458333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","G",105.596
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.78221666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",9.754
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.88868333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",6.276
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",8.17996666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","B,F",17.363
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",8.90708333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",43.515
"S4T2X","SGC3A","121","impasse","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.17741666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","B,F",16.108
"86P6B","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",4.68625,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",105.075
"86P6B","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.3685,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",40.47
"86P6B","SGC3A","111","control","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.54951666666667,"Which shift(s) begin when C ends?","meets","3","TRUE","F",10.697
